Date,KRW,NEER
6/6/2001,1098.2,97.4044
6/7/2001,1090.25,97.5549
6/8/2001,1088.56,97.218
6/11/2001,1092.33,96.4959
6/12/2001,1093.15,97.4901
6/13/2001,1104.48,97.2303
6/14/2001,1097.17,97.454
6/15/2001,1119.13,97.6281
6/18/2001,1115.96,97.666
6/19/2001,1116.62,97.7214
6/20/2001,1103.28,96.3917
6/21/2001,1113.47,96.709
6/22/2001,1111.41,97.6843
6/25/2001,1121.49,97.4629
6/26/2001,1119,97.4408
6/27/2001,1119.14,97.8443
6/28/2001,1108.98,97.4526
6/29/2001,1102.82,98.2659
7/2/2001,1099.15,99.0669
7/3/2001,1098.24,98.8289
7/4/2001,1095.09,98.78
7/5/2001,1091.07,98.8742
7/6/2001,1084.89,98.6108
7/9/2001,1095.86,98.6987
7/10/2001,1108.71,98.9076
7/11/2001,1125.03,99.1904
7/12/2001,1108.23,99.5447
7/13/2001,1113.49,99.9331
7/16/2001,1124.37,99.6823
7/17/2001,1119,99.3843
7/18/2001,1127.94,99.1624
7/19/2001,1137.7,99.1334
7/20/2001,1145.88,99.2107
7/23/2001,1138.73,99.2979
7/24/2001,1140.75,97.7209
7/25/2001,1147.49,99.1017
7/26/2001,1134.94,99.1389
7/27/2001,1135.46,100.1199
7/30/2001,1137.63,100.3718
7/31/2001,1136.4,99.9827
8/1/2001,1139.16,100.0462
8/2/2001,1128.38,100.4933
8/3/2001,1130.69,101.0328
8/6/2001,1132.7,100.6603
8/7/2001,1126.95,100.961
8/8/2001,1121.66,101.1961
8/9/2001,1137.61,101.524
8/10/2001,1146.85,101.5602
8/13/2001,1156.24,101.9114
8/14/2001,1155.53,102.4676
8/15/2001,1165.68,102.9607
8/16/2001,1167.69,102.1352
8/17/2001,1174.74,102.1271
8/20/2001,1171.99,101.9239
8/21/2001,1167.47,101.4547
8/22/2001,1177.8,101.931
8/23/2001,1165.42,101.6
8/24/2001,1162.18,102.0022
8/27/2001,1159.88,102.1978
8/28/2001,1153.76,101.8309
8/29/2001,1164.88,101.9237
8/30/2001,1163.25,101.9472
